No.,ハングル,日本語意味,alphabet(読み方)
1,가게,店,gage
2,가격,価格,gagyeok
3,가구,家具,gagu
4,가깝다,近い,gakkapda
5,가끔,時々,gakkeum
6,가다,行く,gada
7,가르치다,教える,gareuchida
8,가방,鞄,gabang
9,가볍다,軽い,gabyeopda
10,가수,歌手,gasu
11,가슴,胸,gaseum
12,가요,歌謡,gayo
13,가운데,間、中間,gaunde
14,가위,はさみ,gawi
15,가을,秋,gaeul
16,가장,最も、一番,gajang
17,가져가다,持って行く,gajyeogada
18,가져오다,持って来る,gajyeooda
19,가족,家族,gajok
20,가지,種類,gaji
21,가지다,持つ,gajida
22,각,各、おのおの,gak
23,간,間,gan
24,간단하다,簡単だ,gandanhada
25,간단히,簡単に,gandanhi
26,간식,間食、おやつ,gansik
27,간장,醤油,ganjang
28,간호사,看護士,ganhosa
29,갈비,カルビ,galbi
30,갈비탕,カルビタン,galbitang
31,갈색,褐色、茶色,galsaek
32,갈아타다,乗り換える,garatada
33,감,柿,gam
34,감기,風邪,gamgi
35,감기약,風邪薬,gamgiyak
36,감다,（目を）閉じる,gamda
37,감동,感動,gamdong
38,감동하다,感動する,gamdonghada
39,감사,感謝,gamsa
40,감사드립니다,ありがとうございます,gamsadeuripnida
41,감사하다,感謝する,gamsahada
42,감사합니다,ありがとうございます,gamsahapnida
43,감자,じゃがいも,gamja
44,감자탕,カムジャタン,gamjatang
45,갑자기,急に,gapjagi
46,값,値段、価値,gap
47,강,川,gang
48,강아지,子犬,gangaji
49,강좌,講座,gangjwa
50,갖다,持つ,gatda
51,같다,同じだ,gatda
52,같이,一緒に,gachi
53,개,～個、犬,gae
54,개나리,レンギョウ,gaenari
55,개인,個人,gaein
56,거기,そこ,geogi
57,거리,通り、街,geori
58,거실,居室、居間,geosil
59,거울,鏡,geoul
60,거의,ほとんど,geoui
61,거짓말,嘘,geojitmal
62,걱정,心配,geokjeong
63,걱정하다,心配する,geokjeonghada
64,건강,健康,geongang
65,건강하다,健康だ,geonganghada
66,건너가다,渡って行く、渡る、横切る,geonneogada
67,건너다,渡る,geonneoda
68,건너편,向こう側、向かい,geonneopyeon
69,건물,建物,geonmul
70,건배,乾杯,geonbae
71,걷다,歩く,geotda
72,걸다,かける,geolda
73,걸리다,かかる,geollida
74,걸어가다,歩いて行く,georeogada
75,걸어오다,歩いて来る,georeooda
76,검은색,黒、黒色,geomeunsaek
77,것,もの、こと,geot
78,게임,ゲーム、遊び,geim
79,겨울,冬,gyeoul
80,겨울방학,冬休み,gyeoulbanghak
81,결과,結果,gyeolgwa
82,결정,決定,gyeoljeong
83,결정하다,決定する,gyeoljeonghada
84,결혼,結婚,gyeolhon
85,결혼식,結婚式,gyeolhonsik
86,결혼하다,結婚する,gyeolhonhada
87,경기,競技、試合,gyeonggi
88,경기장,競技場,gyeonggijang
89,경복궁,景福宮,gyeongbokgung
90,경주,慶州,gyeongju
91,경찰,警察,gyeongchal
92,경찰관,警察官,gyeongchalgwan
93,경찰서,警察署,gyeongchalseo
94,경치,景色、風景,gyeongchi
95,경험,経験,gyeongheom
96,계단,階段,gyedan
97,계란,鶏卵、たまご,gyeran
98,계산하다,計算する,gyesanhada
99,계속,続けて,gyesok
100,계시다,いらっしゃる,gyesida
101,계절,季節,gyejeol
102,계획,計画,gyehoek
103,고기,肉,gogi
